Screen Width,Browser Window Width,Session Count
1280,1272,3213
1280,1164,3206
1280,1370,2816
1280,1265,2782
1280,1218,2471
1280,1034,2390
1280,1644,2300
1280,1536,2279
1280,1542,2200
1280,1267,2106
1280,2133,2064
1280,1080,2060
1280,1278,1930
1280,1270,1910
1280,1274,1853
1280,1219,1822
1278,1278,6265
1229,1229,4142
1220,1220,2246
1200,1200,4424
1152,1152,14522
1152,1034,2036
1128,1128,2124
1120,1120,4467
1098,1098,9746
1093,1094,3265
1080,1080,6826
1067,1067,2733
1024,1004,90792
1024,1024,41142
1024,1114,36612
1024,1366,14020
1024,1008,2885
1024,1280,2263
1024,1365,1839
834,1194,6094
834,1112,3425
820,1180,4339
810,1080,5188
810,810,2034
800,800,10401
800,1366,4613
768,1024,11608
768,768,4987
428,428,8977
414,414,12853
412,412,7495
400,400,5625
390,390,13388
384,384,2057
375,375,12000
360,360,7193
320,320,3503
