Screen Width,Browser Window Width,Session Count
3840,1918,6976
3840,3840,2549
3440,1718,17573
3440,3440,16980
3440,3424,4512
3440,1720,2464
2752,2752,5415
2561,2560,2072
2560,2560,231880
2560,1278,23779
2560,2544,16470
2560,2513,10988
2560,1280,8324
2560,2327,7760
2560,2844,7379
2560,1264,5216
2560,1920,4694
2560,2048,4464
2560,3200,4444
2560,2559,3897
2560,2360,3670
2560,1024,3396
2560,1279,3000
2560,2546,2771
2560,1440,2722
2560,3413,2320
2400,2400,6996
2294,2294,4899
2240,2240,6962
2195,2195,10846
2144,2144,9276
2133,2133,2169
2049,2048,2138
2048,2048,80108
2048,2034,4824
2048,2002,3854
2048,2560,3490
2048,2276,3288
2048,2047,2105
2048,1862,1958
2048,2730,1929
2021,2021,3251
1980,1980,19586
1920,1249,2546
1920,1920,7627499
1920,1904,656158
1920,1873,397361
1920,2133,327622
1920,1745,176774
1920,2400,153507
1920,1919,147668
1920,1536,137233
1920,1720,90453
1920,2560,81758
1920,1280,39286
1920,1024,36987
1920,958,35270
1920,1872,31309
1920,2115,25377
1920,2880,21023
1920,1858,19142
1920,1731,16928
1920,952,16554
1920,2081,14772
1920,1440,14549
1920,929,14223
1920,1912,14081
1920,1520,13582
1920,1535,12629
1920,1523,11113
1920,1825,10817
1920,960,10686
1920,2380,10597
1920,1264,9469
1920,1703,9333
1920,658,9118
1920,1489,8741
1920,2341,8291
1920,1366,8229
1920,1600,8047
1920,1544,7952
1920,1911,7742
1920,1680,7332
1920,1722,7312
1920,1884,7069
1920,1498,6917
1920,1842,6523
1920,1565,6227
1920,2132,5957
1920,1915,5894
1920,1664,5500
1920,1350,5475
1920,1726,5234
1920,1707,5134
1920,1908,5127
1920,1486,5074
1920,1902,5000
1920,1871,4910
1920,1829,4900
1920,1197,4591
1920,1522,4538
1920,1704,4511
1920,1903,4307
1920,2538,4300
1920,1857,4294
1920,1916,4233
1920,1284,4150
1920,1064,4062
1920,1880,4017
1920,1504,3957
1920,1269,3946
1920,1034,3926
1920,1868,3801
1920,1670,3750
1920,1324,3609
1920,2497,3548
1920,2021,3428
1920,1184,3412
1920,1564,3408
1920,1396,3362
1920,1422,3350
1920,1907,3343
1920,1900,3332
1920,1488,3303
1920,1200,3210
1920,2398,3112
1920,1097,3101
1920,936,3084
1920,1424,3021
1920,1512,3020
1920,1627,2987
1920,1376,2958
1920,1728,2928
1920,1706,2893
1920,1584,2827
1920,1277,2792
1920,1679,2777
1920,1490,2746
1920,1266,2674
1920,1524,2616
1920,1841,2577
1920,1906,2560
1920,1811,2520
1920,1556,2435
1920,1856,2435
1920,1898,2432
1920,1368,2420
1920,1276,2413
1920,1278,2413
1920,1472,2403
1920,1662,2391
1920,1364,2350
1920,1852,2330
1920,1518,2330
1920,1848,2326
1920,1517,2326
1920,1792,2322
1920,1268,2294
1920,1533,2287
1920,1914,2279
1920,1008,2269
1920,1344,2259
1920,1689,2243
1920,1352,2240
1920,1233,2219
1920,1821,2182
1920,1839,2170
1920,944,2165
1920,1514,2164
1920,1846,2159
1920,1901,2155
1920,1279,2131
1920,1421,2127
1920,1500,2117
1920,1738,2103
1920,1404,2101
1920,1382,2101
1920,1265,2083
1920,1398,2074
1920,1617,2060
1920,1436,2058
1920,1066,2048
1920,1420,2047
1920,954,2025
1920,1924,2014
1920,1897,2012
1920,1365,2006
1920,2150,2001
1920,1468,1998
1920,1702,1994
1920,1210,1992
1920,1441,1988
1920,1528,1984
1920,1784,1981
1920,1346,1967
1920,1688,1963
1920,1246,1962
1920,1530,1960
1920,1245,1958
1920,1348,1954
1920,1656,1950
1920,1853,1938
1920,1593,1911
1920,1340,1910
1920,1899,1905
1920,1888,1893
1920,1474,1892
1920,1569,1891
1920,1651,1889
1920,1020,1882
1920,1272,1879
1920,1080,1863
1920,1437,1859
1920,1473,1845
1920,1408,1844
1920,1749,1838
1920,1334,1831
1920,1809,1813
1920,1354,1811
1920,1484,1810
1920,1896,1810
1920,1855,1809
1920,1774,1805
1920,1416,1804
1920,1621,1800
1920,1836,1797
1920,1826,1793
1920,1263,1792
1920,1330,1784
1883,1883,2791
1865,1865,4090
1847,1847,3557
1830,1830,2101
1829,1830,6529
1829,1829,4772
1824,1824,2009
1812,1812,4059
1795,1795,2450
1792,1792,14851
1792,1793,9604
1792,1785,3733
1792,1530,3669
1792,1434,3631
1792,1360,3523
1792,1018,3517
1778,1779,2930
1762,1762,3808
1760,1760,5998
1746,1746,14090
1745,1745,3146
1739,1740,9381
1730,1731,3089
1728,1728,10450
1715,1715,7905
1708,1707,2561
1707,1707,42890
1707,1660,2134
1700,1700,3286
1696,1696,3347
1685,1685,7868
1680,1680,419314
1680,1664,40495
1680,1633,19209
1680,1866,13646
1680,1679,8536
1680,2100,7259
1680,1527,6973
1680,1920,4589
1680,2240,4425
1680,1480,4092
1680,1344,4080
1680,1024,2212
1680,1632,2130
1680,1618,1847
1680,2520,1814
1677,1676,1797
1676,1676,7654
1670,1670,6622
1664,1664,15466
1642,1643,2424
1639,1639,3230
1628,1629,3788
1620,1620,6450
1614,1614,2355
1603,1604,4103
1600,1600,406081
1600,15.84,37963
1600,1553,20262
1600,1777,12865
1600,1601,11313
1600,1599,8004
1600,2000,7343
1600,1455,7307
1600,1280,4574
1600,1400,4227
1600,2133,4204
1600,1920,3576
1600,2400,2633
1574,1575,1969
1564,1564,1905
1561,1562,2893
1549,1549,27531
1537,1536,7836
1536,1540,6149
1536,1536,1570386
1536,1522,131113
1536,1920,89567
1536,1490,87027
1536,1707,79922
1536,1396,36457
1536,2048,31354
1536,1535,30088
1536,2304,13746
1536,1340,12498
1536,1229,10348
1536,1488,8865
1536,1024,7117
1536,1692,5834
1536,1538,4857
1536,1706,4220
1536,1524,3834
1536,767,3689
1536,1489,3593
1536,1526,3548
1536,1442,3497
1536,1903,3486
1536,1520,3474
1536,1280,3343
1536,1384,3119
1536,1655,2950
1536,1152,2936
1536,1528,2845
1536,1530,2805
1536,2133,2734
1536,1862,2585
1536,1474,2537
1536,768,2335
1536,658,2329
1536,1600,2313
1536,1904,2293
1536,1518,2252
1536,1458,2251
1536,1523,2158
1536,2560,1974
1536,1510,1946
1536,2029,1929
1536,1534,1920
1536,1506,1861
1536,1745,1848
1536,1494,1800
1512,1512,11752
1504,1504,45088
1504,1457,3811
1504,1490,3006
1500,1500,15762
1489,1489,3295
1477,1478,3509
1475,1475,2340
1470,1470,3579
1463,1463,5822
1463,1464,2176
1440,1440,376209
1440,1433,23074
1440,1424,18696
1440,1324,10453
1440,1439,7949
1440,1360,7805
1440,1393,7415
1440,1600,7363
1440,1018,7043
1440,1199,6599
1440,1264,6491
1440,1920,5537
1440,1800,4780
1440,1200,4312
1440,1309,4039
1440,1420,2978
1440,1240,2508
1440,1435,2426
1440,1438,2341
1440,1432,2176
1440,1437,2083
1440,1436,1950
1440,1427,1819
1423,1424,5033
1423,1427,3157
1418,1418,3785
1412,1412,2762
1408,1408,2468
1400,1400,2229
1397,1397,3178
1382,1382,1838
1376,1376,2704
1372,1372,4041
1368,1368,51490
1368,1321,3185
1368,1355,2603
1366,1366,548668
1366,1350,40364
1366,1517,36936
1366,1319,23197
1366,1707,22395
1366,1821,13188
1366,1242,12038
1366,2049,10696
1366,1365,10123
1366,1920,7659
1366,1318,4503
1366,1166,3717
1366,1093,3364
1366,1034,2566
1366,1500,2281
1366,1024,2193
1366,1304,1907
1364,1364,4545
1360,1360,35377
1360,1344,2413
1360,1511,2157
1360,1700,2036
1360,1313,1866
1348,1348,2248
1344,1344,36684
1344,1330,5094
1334,1334,2949
1291,1291,2462
1290,1290,3677
1281,1280,4066
1280,1280,996137
1280,1266,65422
1280,1422,59995
1280,1600,53981
1280,1233,46529
1280,1920,43976
1280,1707,38410
1280,1264,30422
1280,1279,20293
1280,1163,10545
1280,1024,8111
1280,1050,6934
1280,12321,6892
1280,2560,6849
1280,1706,6751
1280,1582,4796
1280,1407,4771
1280,1688,4419
1280,1088,4351
1280,1268,4071
