Screen Width,Browser Window Width,Session Count
1920,1920,13372217
1920,1912,2749887
1920,1872,2709569
1536,1536,2468192
1920,1904,1263303
1280,1280,1231593
1920,2133,642791
2560,2560,599457
1536,1528,558330
1440,1440,509534
1536,1488,503374
1680,1680,465624
1366,1366,449476
1600,1600,434324
1280,1272,365278
1920,1745,364849
1920,2400,288076
1920,1720,268231
1280,1232,261405
1536,1522,226127
1920,1536,214593
2048,2048,195251
1536,1920,179949
1536,1707,149921
1920,2560,143130
1920,2124,141615
1920,1482,133452
1366,1358,123450
1024,1004,111339
1280,1266,98753
1600,1592,97574
2560,2552,95628
1920,2080,95272
1280,1422,94101
1707,1707,92183
1920,1526,90378
1680,1672,90251
2560,2512,89396
1680,1632,89182
1920,1738,88401
1600,1552,84907
1366,1318,80407
1280,1600,78963
1280,1920,75026
1920,1865,74105
1920,1702,73175
1504,1504,69627
1920,1280,67839
1470,1470,67731
1512,1512,65434
3440,1718,64816
1536,1396,63634
1920,958,60928
1440,1432,59065
1920,2390,58927
2560,1278,58690
1680,1664,55595
1728,1728,54237
1280,1707,53733
1920,2115,53394
1536,2048,53376
3440,3440,50325
1920,2340,48185
1920,2880,47409
1368,1368,46948
1980,1980,46940
1920,1825,46274
1440,1392,43699
1920,1530,43475
1600,1584,42622
1920,1731,40198
1366,1350,39937
1360,1360,38895
2048,2040,37866
2560,2544,37654
1366,800,37355
1920,1498,36500
1024,1024,35571
1344,1344,34024
1280,1264,33621
2048,2000,32349
1366,1517,32282
1664,1664,31669
1920,2549,30646
1536,1698,30170
1746,1746,30157
1920,2496,29977
2560,2327,29720
2560,2844,29687
1920,1858,28663
1280,1413,28078
1920,952,27842
390,390,26772
2195,2195,26516
800,1366,26237
1710,1710,26111
1536,1340,25901
1920,1523,25869
1280,1590,25768
1536,1653,24510
1600,1601,23629
1792,1792,23540
1440,1424,23491
1280,1696,23071
3840,1918,22823
2240,2240,22640
1920,2380,22286
1536,2304,21717
1536,1482,21710
1024,1366,21230
1920,1440,21057
1500,1500,20563
1504,1496,20502
1920,1520,20270
